zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon
83626,3103,47.886660348583,11.760011772461,urban,226562,47.892982668151,11.775109239609
83627,3872,47.817987872944,11.738874179258,rural,199340,47.823518096945,11.744988895849
83629,3475,47.863056358033,11.818261673945,urban,206498,47.855611200512,11.826105082845
83646,22075,47.772780352193,11.534816854045,rural,183235,47.758539032965,11.551885455193
83661,10173,47.653996893205,11.563415572578,rural,141537,47.664833222714,11.584001835218
83666,5810,47.771264111522,11.679175800768,rural,178901,47.766291889961,11.69264339701
83670,3904,47.746438761326,11.454792521588,rural,176921,47.750157390314,11.465854439573
83671,3713,47.680672669469,11.450172177118,rural,155909,47.703180184953,11.424697213982
83673,2199,47.727288972604,11.408638040269,rural,167185,47.727848170649,11.409546743979
83674,3172,47.724665062352,11.595128344784,rural,171595,47.739585471,11.566456934735
83676,900,47.607612451992,11.450299667854,rural,118802,47.602535113833,11.452632185514
83677,3870,47.762318028133,11.618822955412,rural,176505,47.754780325166,11.621959118559
83679,1357,47.807978062823,11.629495878115,rural,198149,47.811284522053,11.650786671521
83684,3867,47.711632092804,11.768740295175,rural,0,,
83700,7318,47.649369216421,11.82508445858,rural,142135,47.681851871314,11.81359190707
83703,6090,47.750700094972,11.756919753298,rural,174549,47.758855607472,11.728745628494
83707,4759,47.701065644385,11.69398592461,rural,160583,47.723574809905,11.712947938915
83708,2171,47.631910949495,11.731895240467,rural,132764,47.65501857111,11.751482061608
83714,11652,47.793639903197,11.839682611166,rural,181897,47.781275096411,11.830302405744
83727,7057,47.687794515891,11.87501411955,rural,154857,47.721227139609,11.866252086777
83730,5841,47.7432539788,11.943256458398,rural,147839,47.712469689186,11.940307059752
83734,8486,47.750807932538,11.817861013442,rural,169198,47.755206994986,11.85438158069
83735,1559,47.662143325133,11.985413159123,rural,128728,47.67134514272,12.013765347684
83737,3200,47.821975512688,11.890706124614,rural,197014,47.841148498769,11.921407789238
84028,12544,48.542410380228,12.170981454494,rural,0,,
84030,15651,48.590394512773,12.134262031863,rural,198331,48.583691627754,12.154147229837
84032,21726,48.561844118825,12.086325147319,rural,211534,48.556303930183,12.107016212818
84034,22899,48.528934040818,12.095463853971,rural,0,,
84036,23473,48.503518570838,12.183341814303,rural,207627,48.504882948939,12.160721941938
84048,14829,48.634976756266,11.758628379227,rural,195915,48.623392200946,11.774849142128
84051,11754,48.621673811083,12.224459779818,rural,182949,48.608449086613,12.229295370555
84056,8090,48.713672152022,12.021550731327,rural,176710,48.712761867509,12.014860944009
84061,7827,48.693218441861,12.221936658289,rural,171773,48.692427493397,12.201518179193
